선불식할부거래사업자정보																																					
																																					
회사정보													판매품목(현재 시판중인 주요 3개 품목)						재무현황												선수금현황						
상호	대표자성명	선불식할부거래업등록번호	선불식할부거래할부거래등록일	법인등록번호	사업자등록번호	법인 소재지	영업소 소재지	전화번호	전자우편주소	영업상태	영업개시일	등록취소 및 폐업일자	상품명1	가격 및 지급방법1	상품명2	가격 및 지급방법2	상품명3	가격 및 지급방법3	자산(원)			부채(원)			자본총계	자본금	지급여력비율(%)		부채비율(%)		총선수금(원)	보전비율(%)	선수금보전 계약				
																			유동자산	고정자산	자산총계	유동부채	비유동부채		부채총계		해당업체	전체평균	해당업체	전체평균			체결기관	계약유형	보전금액	선수금 보전기관명(지점)	선수금 보전금액 조회 전화번호
(주)현진시닝	박 *  * 	경기-2026-제1호	20260324			경기도 과천시 향나무로 6	상동	02-734-2113	ske**@hyunjinsn.com	정상영업	20260324								0	0	0	0	0	0	0	0	0	100	0	100	0	0	국민은행	예치계약	0		
(주)아정라이프케어	오 *  * 	부산 2025-01호	20250728	1801110161376	448-81-03815	부산광역시 사하구 낙동남로 1424	상동	1833-7377	scv*****@ajd.co.kr	정상영업			아정백원상조	3만원(100원*300회) 수의(면100%), 관(오동관 16mm), 리무진 또는 버스 선택(200km이내 무료) 등	아정당상조99	1,485,000원(9,900*150회) 수의(면100%), 관(오동관 16mm), 리무진 또는 버스 선택(200km이내 무료) 등	아정당상조399	3,591,000원(100원*60회/39,900원*90회) 수의(대마100%), 관(오동관 16mm), 리무진 또는 버스 선택(200km이내 무료) 등	1,532,878,471	1,000,000	1,533,878,471	84,762,323	3,608,622	88,370,945	1,445,507,526	1,500,000,000	952972	100	6	100	6,304,100	50	국민은행	예치계약	3,152,050	국민은행 태릉역 종합금융센터	02-974-9866
코웨이라이프솔루션(주)	김 *  * 	서울-2024-제176호	20241024	1101119067516	111-88-03173	서울특별시 구로구 디지털로26길 38		1588-1425	com****@cowayls.com	정상영업			코웨이라이프499	499만원(32,200원*150회+10,000원*1회+0원*29회) 관(오동나무), 수의(저마 100%), 리무진 및 장의버스(왕복200km이내) 의전복지사 5명 등	코웨이라이프599	599만원(39,900원*150회+5,000원*1회+0원*29회) 관(오동나무), 수의(저마 100%), 리무진 및 장의버스(왕복400km이내) 의전복지사 6명 등	코웨이라이프699	699만원(46,600원*150회+0원*30회) 관(오동나무), 수의(대마 100%), 리무진 및 장의버스(전국무료) 의전복지사 8명 등	6,987,706,992	8,905,591,748	15,893,298,740	5,393,215,428	4,563,830,676	9,957,046,104	5,936,252,636	1,500,000,000	255	100	63	100	6,096,663,300	66	우리은행	채무지급보증계약	4,000,000,000	우리은행 동대문금융센터	02-2278-5121
(주)더라이프	배 *  * 	부산 2024-01호	20240510	1801111408550	347-87-02382	부산광역시 부산진구 중앙대로 632	상동	051-714-4541	gii***@hanmail.net	정상영업	20240409								1,234,335,684	27,448,590	1,261,784,274	0	0	0	1,261,784,274	1,500,000,000		100	0	100	0	0	부산은행	예치계약	0		
(주)고이장례연구소	송 *  * 	서울-2024-제174호	20240501	1101118000939	831-87-01971	서울특별시 관악구 신림로 132	상동	1666-9784	fin****@goifuneral.co.kr	정상영업	20210827		고이 무빈소장	159만원(3만원 선납 후 차액 156만원은 장례 중 후불납부 ) 장례지도사(1명, 3일), 염습상례사(1명, 1일)/관(오동나무), 수의(면 50%, 폴리 50%), 목함, 관 장식용 생화, 입관 수시 용품/앰뷸런스, 장의버스(왕복 200km)	고이 가족장	289만원(3만원 선납 후 차액 286만원 장례 중 후불 또는 월 9,900*282개월) 장례지도사(1명, 3일), 염습상례사(1명, 1일), 접객도우미(4명, 1인당 10시간)/관(오동나무), 수의(면 100%), 유골함, 관 장식용 생화, 입관 수시 용품, 빈소 용품, 상복(남자 3벌, 여자 3벌), 상주용품/앰뷸런스, 장의버스(왕복 200km)	고이 일반장	389만원(3만원 선납 후 차액 386만원은 장례 중 후불납부)장례지도사(1명, 3일), 염습상례사(1명, 1일), 접객도우미(6명, 1인당 10시간)/관(오동나무), 수의(면 100%), 유골함, 관 장식용 생화, 입관 수시 용품, 빈소 용품, 상복(남자 6벌, 여자 6벌), 상주용품, 조문객 일회용품(200인분)/앰뷸런스, 장의버스(왕복 200km), 리무진(편도200km)	7,837,273,335	850,665,593	8,687,938,928	803,879,529	1,314,135,820	2,118,015,349	6,569,923,579	2,143,230,500	916	100	24	100	1,247,675,200	65	국민은행	예치계약	815,825,785	국민은행 광화문종합금융센터	02-3673-6294
[폐업]기린종합건설(주)	김 *  * 	경기-2024-02호	20240322	2802210186277	320-86-01227	경기도 용인시 처인구 백옥대로 1400		0313389226	mar******@kirinenc.com	폐업	20240322	20250201							0	0	0	0	0	0	0	1,750,000,000		100		100	0	0	(주)신한은행	채무지급보증	0		
모두펫그룹(주)[구(주)모두펫상조, (주)아름라이프, (주)아름투어, (주)아름여행사]	고 *  * 	경남 2024 -제1호	20230320	1101113723817	214-88-15304	경상남도 김해시 내외중앙로 137		055-311-6008	aru******@naver.com	등록취소			A크루저300만	300만원 (50,000*60회)	아름800만	800만원 (80,000*100회)	아름400만	400만원 (40,000*100회)	1,665,082,712	95,235,856	1,760,318,568	268,677,180	591,330,372	860,007,552	900,311,016	1,500,000,000	270	100	49	100	84,390,000	51	상조보증공제조합	공제계약	43,254,000		
(주)온라이프그룹	윤 *  * 	부산-2023-01호	20230213	1801111470416	583-87-02839	부산광역시 부산진구 가야대로 767	상동	051-983-1000	on*@on-life.co.kr	정상영업									1,968,680,435	21,493,501	1,990,173,936	549,135,257	0	549,135,257	1,441,038,679	1,500,000,000		100	28	100	0	0	부산은행	예치계약	0	부산은행 부전동금융센터	051-669-8245
(주)현대투어플랜[구, (주)투어세상]	조 *  * 	서울-2024-제175호	20230209	1101118507381	418-81-45153	서울특별시 송파구 송파대로16길 3		1688-2682	hto**@htourplan.co.kr	등록취소			반하고 상품	396만원(33,000*120회) 크루즈 객실, 왕복 항공료, 투어세상 여행 특전	반하고 vip상품	498만원(100,000*50회) 크루즈 객실, 왕복 항공료, 선상팁, 기항지 관광, 유류할증료, 투어세상 여행 특전			4,797,259,777	4,258,361,998	9,055,621,775	1,884,019,330	5,696,820,389	7,580,839,719	1,474,782,056	1,500,000,000	129	100	84	100	560,665,400	40	국민은행	예치계약	224,266,160	국민은행(광화문종합금융센터)	02-732-9301
